Id,Measure,ValueAttribute,Value,StringValue,RegioS
32,M000297,None,7449298.0,,NL00
38,1014800_1,None,55.0,,NL00
39,1014850_2,None,44.0,,NL00
135,M000297,None,5785.0,,GM0003
141,1014800_1,None,47.0,,GM0003
142,1014850_2,None,51.0,,GM0003
238,M000297,None,5785.0,,WK000300
244,1014800_1,None,47.0,,WK000300
245,1014850_2,None,51.0,,WK000300
342,M000297,None,1425.0,,BU00030000
348,1014800_1,None,39.0,,BU00030000
349,1014850_2,None,59.0,,BU00030000
448,M000297,None,1314.0,,BU00030001
454,1014800_1,None,65.0,,BU00030001
455,1014850_2,None,35.0,,BU00030001
553,M000297,None,2819.0,,BU00030002
559,1014800_1,None,40.0,,BU00030002
560,1014850_2,None,58.0,,BU00030002
652,M000297,None,124.0,,BU00030007
658,1014800_1,None,94.0,,BU00030007
659,1014850_2,None,6.0,,BU00030007
742,M000297,None,41.0,,BU00030008
747,1014800_1,None,90.0,,BU00030008
748,1014850_2,None,10.0,,BU00030008
815,M000297,None,62.0,,BU00030009
820,1014800_1,None,71.0,,BU00030009
821,1014850_2,None,26.0,,BU00030009
909,M000297,None,4464.0,,GM0005
915,1014800_1,None,67.0,,GM0005
916,1014850_2,None,32.0,,GM0005
1012,M000297,None,4464.0,,WK000500
1018,1014800_1,None,67.0,,WK000500
1019,1014850_2,None,32.0,,WK000500
1116,M000297,None,3423.0,,BU00050000
1122,1014800_1,None,64.0,,BU00050000
1123,1014850_2,None,35.0,,BU00050000
1221,M000297,None,223.0,,BU00050001
1227,1014800_1,None,70.0,,BU00050001
1228,1014850_2,None,21.0,,BU00050001
1322,M000297,None,387.0,,BU00050002
1328,1014800_1,None,72.0,,BU00050002
1329,1014850_2,None,28.0,,BU00050002
1418,M000297,None,47.0,,BU00050003
1423,1014800_1,None,79.0,,BU00050003
1424,1014850_2,None,21.0,,BU00050003
1498,M000297,None,242.0,,BU00050004
1504,1014800_1,None,75.0,,BU00050004
1505,1014850_2,None,25.0,,BU00050004
1593,M000297,None,39.0,,BU00050005
1598,1014800_1,None,82.0,,BU00050005
1599,1014850_2,None,18.0,,BU00050005
1659,M000297,None,58.0,,BU00050006
1665,1014800_1,None,81.0,,BU00050006
1666,1014850_2,None,17.0,,BU00050006
1737,M000297,None,45.0,,BU00050007
1742,1014800_1,None,89.0,,BU00050007
1743,1014850_2,None,11.0,,BU00050007
1814,M000297,None,4136.0,,GM0007
1820,1014800_1,None,70.0,,GM0007
1821,1014850_2,None,28.0,,GM0007
1917,M000297,None,1901.0,,WK000700
1923,1014800_1,None,70.0,,WK000700
1924,1014850_2,None,29.0,,WK000700
2021,M000297,None,1020.0,,BU00070000
2027,1014800_1,None,66.0,,BU00070000
2028,1014850_2,None,33.0,,BU00070000
2121,M000297,None,142.0,,BU00070001
2127,1014800_1,None,68.0,,BU00070001
2128,1014850_2,None,14.0,,BU00070001
2208,M000297,None,210.0,,BU00070002
2214,1014800_1,None,66.0,,BU00070002
2215,1014850_2,None,34.0,,BU00070002
2304,M000297,None,212.0,,BU00070004
2310,1014800_1,None,64.0,,BU00070004
2311,1014850_2,None,36.0,,BU00070004
2400,M000297,None,51.0,,BU00070005
2405,1014800_1,None,78.0,,BU00070005
2406,1014850_2,None,22.0,,BU00070005
2461,M000297,None,23.0,,BU00070006
2466,1014800_1,None,91.0,,BU00070006
2467,1014850_2,None,9.0,,BU00070006
2527,M000297,None,164.0,,BU00070007
2533,1014800_1,None,94.0,,BU00070007
2534,1014850_2,None,6.0,,BU00070007
2615,M000297,None,52.0,,BU00070008
2620,1014800_1,None,83.0,,BU00070008
2621,1014850_2,None,15.0,,BU00070008
2687,M000297,None,27.0,,BU00070009
2692,1014800_1,None,67.0,,BU00070009
2693,1014850_2,None,33.0,,BU00070009
2762,M000297,None,447.0,,WK000701
2768,1014800_1,None,81.0,,WK000701
2769,1014850_2,None,18.0,,WK000701
2853,M000297,None,260.0,,BU00070100
2859,1014800_1,None,78.0,,BU00070100
2860,1014850_2,None,21.0,,BU00070100
2946,M000297,None,62.0,,BU00070101
2952,1014800_1,None,90.0,,BU00070101
2953,1014850_2,None,10.0,,BU00070101
3023,M000297,None,49.0,,BU00070108
3028,1014800_1,None,88.0,,BU00070108
3029,1014850_2,None,10.0,,BU00070108
3096,M000297,None,76.0,,BU00070109
3102,1014800_1,None,80.0,,BU00070109
3103,1014850_2,None,17.0,,BU00070109
3189,M000297,None,1788.0,,WK000702
3195,1014800_1,None,69.0,,WK000702
3196,1014850_2,None,31.0,,WK000702
3293,M000297,None,993.0,,BU00070200
3299,1014800_1,None,60.0,,BU00070200
3300,1014850_2,None,39.0,,BU00070200
3391,M000297,None,172.0,,BU00070201
3397,1014800_1,None,93.0,,BU00070201
