Id,Measure,ValueAttribute,Value,StringValue,WijkenEnBuurten
32,M000297,None,7686175.0,,NL00
33,M001642,None,216.0,,NL00
38,1014800_1,None,56.0,,NL00
39,1014850_2,None,43.0,,NL00
134,M000297,None,11145.0,,GM1680
135,M001642,None,223.0,,GM1680
140,1014800_1,None,71.0,,GM1680
141,1014850_2,None,28.0,,GM1680
239,M000297,None,1599.0,,WK168000
240,M001642,None,226.0,,WK168000
245,1014800_1,None,70.0,,WK168000
246,1014850_2,None,26.0,,WK168000
344,M000297,None,1536.0,,BU16800000
345,M001642,None,220.0,,BU16800000
350,1014800_1,None,69.0,,BU16800000
351,1014850_2,None,27.0,,BU16800000
451,M000297,None,63.0,,BU16800009
452,M001642,None,402.0,,BU16800009
457,1014800_1,None,97.0,,BU16800009
458,1014850_2,None,3.0,,BU16800009
544,M000297,None,580.0,,WK168001
545,M001642,None,231.0,,WK168001
550,1014800_1,None,79.0,,WK168001
551,1014850_2,None,21.0,,WK168001
649,M000297,None,533.0,,BU16800100
650,M001642,None,221.0,,BU16800100
655,1014800_1,None,78.0,,BU16800100
656,1014850_2,None,22.0,,BU16800100
756,M000297,None,47.0,,BU16800109
757,M001642,None,330.0,,BU16800109
762,1014800_1,None,91.0,,BU16800109
763,1014850_2,None,9.0,,BU16800109
849,M000297,None,167.0,,WK168002
850,M001642,None,279.0,,WK168002
855,1014800_1,None,78.0,,WK168002
856,1014850_2,None,22.0,,WK168002
948,M000297,None,143.0,,BU16800200
949,M001642,None,267.0,,BU16800200
954,1014800_1,None,77.0,,BU16800200
955,1014850_2,None,23.0,,BU16800200
1049,M000297,None,24.0,,BU16800209
1054,1014800_1,None,88.0,,BU16800209
1055,1014850_2,None,13.0,,BU16800209
1136,M000297,None,172.0,,WK168003
1137,M001642,None,299.0,,WK168003
1142,1014800_1,None,90.0,,WK168003
1143,1014850_2,None,10.0,,WK168003
1239,M000297,None,167.0,,BU16800300
1240,M001642,None,297.0,,BU16800300
1245,1014800_1,None,90.0,,BU16800300
1246,1014850_2,None,10.0,,BU16800300
1344,M000297,None,5.0,,BU16800309
1398,M000297,None,110.0,,WK168004
1399,M001642,None,302.0,,WK168004
1404,1014800_1,None,82.0,,WK168004
1405,1014850_2,None,17.0,,WK168004
1497,M000297,None,100.0,,BU16800400
1498,M001642,None,302.0,,BU16800400
1503,1014800_1,None,83.0,,BU16800400
1504,1014850_2,None,16.0,,BU16800400
1594,M000297,None,10.0,,BU16800409
1648,M000297,None,242.0,,WK168005
1649,M001642,None,345.0,,WK168005
1654,1014800_1,None,84.0,,WK168005
1655,1014850_2,None,14.0,,WK168005
1747,M000297,None,212.0,,BU16800500
1748,M001642,None,341.0,,BU16800500
1753,1014800_1,None,86.0,,BU16800500
1754,1014850_2,None,12.0,,BU16800500
1848,M000297,None,30.0,,BU16800509
1853,1014800_1,None,67.0,,BU16800509
1854,1014850_2,None,27.0,,BU16800509
1919,M000297,None,181.0,,WK168006
1920,M001642,None,227.0,,WK168006
1925,1014800_1,None,87.0,,WK168006
1926,1014850_2,None,12.0,,WK168006
2018,M000297,None,175.0,,BU16800600
2019,M001642,None,225.0,,BU16800600
2024,1014800_1,None,87.0,,BU16800600
2025,1014850_2,None,13.0,,BU16800600
2119,M000297,None,6.0,,BU16800609
2176,M000297,None,64.0,,WK168007
2177,M001642,None,206.0,,WK168007
2182,1014800_1,None,86.0,,WK168007
2183,1014850_2,None,14.0,,WK168007
2264,M000297,None,64.0,,BU16800700
2265,M001642,None,206.0,,BU16800700
2270,1014800_1,None,86.0,,BU16800700
2271,1014850_2,None,14.0,,BU16800700
2352,M000297,None,0.0,,BU16800709
2399,M000297,None,43.0,,WK168008
2404,1014800_1,None,93.0,,WK168008
2405,1014850_2,None,7.0,,WK168008
2476,M000297,None,40.0,,BU16800800
2481,1014800_1,None,93.0,,BU16800800
2482,1014850_2,None,8.0,,BU16800800
2553,M000297,None,3.0,,BU16800809
2601,M000297,None,48.0,,WK168009
2606,1014800_1,None,94.0,,WK168009
2607,1014850_2,None,6.0,,WK168009
2684,M000297,None,47.0,,BU16800900
2689,1014800_1,None,94.0,,BU16800900
2690,1014850_2,None,6.0,,BU16800900
2766,M000297,None,1.0,,BU16800909
2814,M000297,None,186.0,,WK168011
2815,M001642,None,173.0,,WK168011
2820,1014800_1,None,73.0,,WK168011
2821,1014850_2,None,27.0,,WK168011
2913,M000297,None,186.0,,BU16801100
2914,M001642,None,173.0,,BU16801100
2919,1014800_1,None,73.0,,BU16801100
2920,1014850_2,None,27.0,,BU16801100
3012,M000297,None,0.0,,BU16801109
3063,M000297,None,106.0,,WK168012
3064,M001642,None,158.0,,WK168012
3069,1014800_1,None,82.0,,WK168012
3070,1014850_2,None,18.0,,WK168012
3157,M000297,None,106.0,,BU16801200
3158,M001642,None,158.0,,BU16801200
3163,1014800_1,None,82.0,,BU16801200
3164,1014850_2,None,18.0,,BU16801200
3253,M000297,None,0.0,,BU16801209
3307,M000297,None,60.0,,WK168013
3308,M001642,None,265.0,,WK168013
3313,1014800_1,None,88.0,,WK168013
3314,1014850_2,None,10.0,,WK168013
3402,M000297,None,46.0,,BU16801300
3407,1014800_1,None,89.0,,BU16801300
3408,1014850_2,None,9.0,,BU16801300
3483,M000297,None,14.0,,BU16801309
3542,M000297,None,765.0,,WK168014
3543,M001642,None,218.0,,WK168014
3548,1014800_1,None,71.0,,WK168014
3549,1014850_2,None,29.0,,WK168014
3647,M000297,None,672.0,,BU16801400
3648,M001642,None,206.0,,BU16801400
3653,1014800_1,None,69.0,,BU16801400
3654,1014850_2,None,31.0,,BU16801400
3754,M000297,None,57.0,,BU16801401
3755,M001642,None,308.0,,BU16801401
3760,1014800_1,None,88.0,,BU16801401
3761,1014850_2,None,12.0,,BU16801401
3842,M000297,None,36.0,,BU16801409
3847,1014800_1,None,75.0,,BU16801409
3848,1014850_2,None,22.0,,BU16801409
